code_station;coordonnee_x;coordonnee_y;longitude;latitude
3011780;680446.0;6864674.0;2.73337200181228;48.8817869746487
3012450;727302.07;6819607.71;3.3694005282386;48.4761570082891
3012660;725160.51;6816204.3;3.3402269102971;48.4456261592394
3012680;724505.51;6813840.35;3.33123584497138;48.4243844342018
3012710;722651.95;6812298.24;3.30610112044811;48.4105782645478
3012800;719915.0;6813190.0;3.26915745471865;48.4186906320325
3012973;718195.0;6812805.0;3.24589507036374;48.4152774661718
3013000;717469.0;6813066.0;3.23609419954789;48.4176454754552
3013125;732492.12;6831826.27;3.44054356456662;48.5858305546046
3013155;726488.7;6828494.74;3.35894226817218;48.556135855991
3013163;723944.0;6828423.0;3.32445603931475;48.5555895805412
3013165;724575.0;6828367.0;3.33300318013405;48.5550622053055
3013200;721347.0;6830086.0;3.28934798902987;48.5706397211642
3013212;720824.0;6831336.0;3.28231962239935;48.5819008870584
3013250;719702.0;6826538.0;3.26688846217473;48.5387759177086
3013280;717975.0;6823683.0;3.24337502143652;48.5131434344711
3013290;717153.0;6825178.0;3.23230505388542;48.5266143298923
3013300;717359.88;6820874.31;3.23493342381061;48.4878935797657
3013315;716951.0;6817435.0;3.22926489085671;48.4569641119502
3013345;717637.0;6820621.0;3.23867333898074;48.4856073344316
3013365;725063.0;6818861.0;3.33906262934981;48.469529954387
3013370;717956.0;6815044.0;3.24275816770253;48.4354270464233
3013372;721913.0;6817563.0;3.29638264566807;48.4579670414397
3013430;712879.0;6813520.0;3.17407393821974;48.4218371118048
3013550;726900.77;6817155.16;3.36381807450539;48.4541104708058
3013610;708954.0;6820224.0;3.12116235842536;48.4822138998968
3013615;707550.6;6819764.01;3.10216401623152;48.4780936614288
3013620;711185.0;6819628.0;3.15133593739248;48.4768176244191
3013660;712823.0;6815641.0;3.17337998492732;48.4409195300986
3013677;713356.0;6820203.0;3.18072784005221;48.4819492826713
3013705;708414.46;6815994.53;3.11377903802182;48.4441721096345
3013710;709789.0;6814831.0;3.13233895660941;48.4336853346512
3013730;707609.0;6813170.0;3.10283800332599;48.4187714840715
3013740;707094.0;6813710.0;3.09588648762181;48.423635402071
3013930;699465.0;6811040.0;2.99277193957143;48.3996531927572
3014000;697015.0;6809837.0;2.95967977851112;48.3888235865114
3023700;690376.22;6809453.05;2.87001435842453;48.3853048959064
3023732;689653.0;6809163.0;2.86025298596049;48.3826842880537
3024000;685758.0;6809993.0;2.80761982154426;48.3900778397098
3031610;706500.0;6806337.0;3.08774691267429;48.3573091746919
3032000;697000.0;6809681.0;2.95947824572916;48.387420033721
3046000;681656.0;6815898.0;2.75195998881922;48.4430990371225
3046140;698895.0;6819380.0;2.98504968193194;48.4746820767805
3046200;683848.0;6817546.0;2.78153749737752;48.4579830661848
3046320;686902.0;6822205.0;2.8227024701952;48.4999644509086
3046388;681681.34;6820641.12;2.75210127716441;48.4857694398832
3046680;678135.0;6823664.0;2.70395719472761;48.5128529882669
3046684;675868.47;6824508.82;2.67322233915204;48.5203723492593
3046695;677371.0;6824521.0;2.69356803209887;48.520536111615
3047000;674836.0;6826373.0;2.65913232059114;48.5371025600256
3047279;668881.0;6825045.0;2.57856419948489;48.5248978358588
3047585;666756.0;6815362.0;2.55053295770441;48.4376850085244
3047620;664717.0;6819103.0;2.52266007352829;48.4712316988635
3047627;664609.0;6819739.0;2.52114680986756;48.4769472304255
3047650;665629.0;6820682.0;2.53487230276321;48.4854852013226
3047680;667011.0;6824416.0;2.5532880345612;48.519147114304
3047685;666221.86;6822089.52;2.54278474838822;48.4981781477254
3047740;665505.0;6825481.0;2.53281006771974;48.528649025105
3048000;666622.0;6826460.0;2.54786212287963;48.5375141401747
3048230;671653.0;6830661.0;2.61573387050575;48.5755434425685
3048290;667897.0;6829346.0;2.56491749320174;48.5635393357373
3048347;681973.0;6820771.0;2.75604273379971;48.4869460080901
3049600;671255.0;6836582.0;2.60994226791371;48.6287856939482
3049700;666822.0;6837858.0;2.54969077052301;48.6400508897537
3050200;695873.0;6830525.0;2.94405610667149;48.5749273732764
3050520;698689.0;6825831.0;2.98224293636989;48.5327141770986
3050690;702741.0;6828267.0;3.03714146071738;48.5546229961336
3051000;698592.42;6826962.84;2.98093108990802;48.5428956067831
3051120;696915.0;6828068.0;2.9581986532967;48.5528313387162
3051240;693959.0;6828312.0;2.91814183399409;48.5550054261863
3051250;694059.0;6828581.0;2.91949315999482;48.5574261429093
3051300;689381.0;6828610.0;2.85610070046366;48.5576272166292
3051395;686677.0;6830464.0;2.81940113622115;48.5742547538044
3051450;683947.0;6830122.0;2.78240778539388;48.571116419896
3051490;681718.65;6828847.24;2.75225775976797;48.5595903694973
3051500;680887.0;6828771.0;2.74099100794326;48.5588805513428
3051520;678628.84;6830393.68;2.71030923697771;48.573406609992
3051575;676376.0;6829125.0;2.67984154218577;48.5619161151778
3051580;676333.81;6827826.65;2.67934123232859;48.550235344953
3051590;675896.0;6827531.0;2.673425876108;48.5475596873161
3053750;686695.0;6782334.0;2.82112308951476;48.14123670559
3053880;680508.0;6784889.0;2.73782943832171;48.1640715611505
3053999;679542.0;6786720.0;2.72475083849698;48.1805173840178
3054000;679808.0;6786998.0;2.72831679897301;48.1830271101578
3054200;678861.0;6790122.0;2.71542354380597;48.2111064667793
3054220;678526.0;6791669.0;2.7108374976776;48.2250150241916
3054300;677357.0;6795259.0;2.69490946405235;48.2572768022889
3054320;677373.0;6795813.0;2.69509622167735;48.2622619568735
3054340;677233.0;6796869.0;2.69315441357587;48.2717583565308
3054400;677405.0;6796888.0;2.69547155818419;48.2719352980442
3054500;677192.0;6799033.0;2.69248825347117;48.2912271422647
3054585;677256.0;6801725.0;2.6932101171036;48.3154498105141
3054600;680673.37;6802522.27;2.73927055571324;48.3227334148818
3054660;683302.0;6804569.0;2.77465356341616;48.3412206875058
3054715;684093.0;6804017.0;2.78534863320041;48.3362741781677
3055000;687085.0;6807384.0;2.82562263298816;48.3666330882707
3057280;662541.0;6781895.0;2.49643216664185;48.1363472678649
3057985;677465.0;6782206.0;2.69703942535592;48.1398315282277
3058000;680634.0;6783644.0;2.73957937323899;48.1528726499898
3058055;680808.0;6784005.0;2.7419033213385;48.1561261220183
3058500;699213.0;6789836.0;2.98940575620957;48.2088753515392
3058671;694806.0;6792162.0;2.93005296454235;48.2297839965306
3058750;690556.5;6793012.63;2.87280703271564;48.2373899779733
3058800;689660.0;6793929.0;2.86071047182451;48.2456215351858
3059000;683837.0;6799476.0;2.78206327355745;48.2954118578215
3059480;683272.0;6803155.0;2.77430324618101;48.3284981423374
3059880;703410.0;6794823.0;3.0459429577232;48.2537385223516
3059967;702381.0;6794954.0;3.03207995126156;48.2549217783396
3060000;701668.0;6795125.0;3.02247413755742;48.2564625777173
3060500;696117.0;6798649.0;2.94765013651481;48.2881601696254
3060750;692550.0;6802130.0;2.89950083391756;48.3194485301492
3061000;689221.0;6803023.0;2.85457111941644;48.3274363103946
3061020;689180.0;6803124.0;2.85401543465523;48.328344334689
3061185;687346.0;6807241.0;2.82915080198079;48.3653516762629
3077596;702038.0;6847811.0;3.02770850802736;48.7304213959746
3077645;701489.0;6846358.0;3.0202392786432;48.7173542377218
3077900;710669.0;6842539.0;3.14492328099552;48.6829181215082
3077910;700721.0;6844223.0;3.00979661458464;48.6981525441377
3077949;714542.0;6842672.0;3.19753683954659;48.6840388546643
3078000;697283.0;6844197.0;2.96308282810171;48.6979133778171
3078060;696850.0;6842034.0;2.95721537649946;48.6784562406295
3078085;695457.0;6841579.0;2.9382999006994;48.6743553987262
3078110;692886.0;6838979.0;2.90342545105185;48.6509459449524
3078220;688881.0;6847630.0;2.84883172930506;48.7287009311519
3078250;689330.0;6843804.0;2.85503158851536;48.6942961655852
3078265;687899.0;6841709.0;2.83564854275886;48.6754273924825
3078274;687734.0;6841306.0;2.83341912511895;48.6717994491737
3078285;686826.0;6840574.0;2.82111041109799;48.6651974914051
3078293;686142.0;6839707.0;2.8118504698243;48.6573847768288
3078365;687796.0;6836081.0;2.83440993241667;48.6248027180265
3078385;684177.0;6838604.0;2.78521259900741;48.6474184444669
3078486;683810.0;6850500.0;2.77978047242233;48.7544067342291
3078495;681437.0;6847999.0;2.7476114061671;48.7318486949167
3078510;681340.0;6846787.0;2.74634550682313;48.7209449371249
3078527;684388.0;6840096.0;2.7880224094463;48.6608437516581
3078535;681722.0;6839344.0;2.75185613589977;48.6540098495176
3078600;677428.0;6839246.0;2.69356607682918;48.6529927323132
3078630;674547.63;6843134.06;2.65423196528;48.6878572467842
3078677;674503.0;6841231.0;2.65373904637072;48.670738388096
3078832;672116.0;6841994.0;2.62127326920495;48.6775026627643
3078840;671322.0;6841377.0;2.61053048973821;48.6719182990312
3078920;669306.0;6841314.0;2.58315665276443;48.6712590609792
3079000;667331.0;6841845.0;2.5562949675484;48.6759383462688
3079430;672227.0;6849205.0;2.62231241028005;48.742365072366
3079469;672259.0;6848292.0;2.62280688358625;48.7341548852149
3079994;699242.0;6838995.0;2.98970990363335;48.6511285484616
3079996;703607.0;6832610.0;3.0489124992817;48.5936856939533
3080000;697224.0;6838428.0;2.96231857354695;48.6460229649661
3080025;695868.0;6838252.0;2.94391393041801;48.6444326283803
3081250;675483.27;6873015.17;2.66522136423509;48.956626089175
3108890;714233.99;6877462.54;3.19451706749503;48.9969274879341
3109000;709127.0;6871646.0;3.1246013264628;48.9447165176718
3109019;706173.55;6872418.04;3.08429227080828;48.9516941772227
3109130;705906.0;6871729.0;3.08062959892525;48.9455005340905
3109150;705449.0;6872455.0;3.07439990890345;48.952033084181
